    Temper          r      Ro      GRR        T   lambda        Dt
159  21.85 0.10513852 27.4164 93.11288 31.49313 1.110864  6.592704
160  21.90 0.10571756 27.4491 93.60848 31.33191 1.111508  6.556595
161  21.95 0.10629107 27.4780 94.66655 31.17276 1.112146  6.521217
162  22.00 0.10686046 27.5003 94.12997 31.01425 1.112779  6.486470
163  22.05 0.10742364 27.5226 94.73367 30.85920 1.113406  6.452464
164  22.10 0.10798325 27.5382 94.36808 30.70452 1.114029  6.419025
165  22.15 0.10853716 27.5538 94.29706 30.55304 1.114646  6.386266
166  22.20 0.10908678 27.5658 95.07697 30.40310 1.115259  6.354090
167  22.25 0.10963117 27.5700 95.30414 30.25352 1.115866  6.322538
168  22.30 0.11017526 27.5762 95.55505 30.10615 1.116474  6.291314
169  22.35 0.11071349 27.5773 94.75742 29.96015 1.117075  6.260729
170  22.40 0.11125144 27.5722 96.32455 29.81362 1.117676  6.230456
171  22.45 0.11178586 27.5667 96.33125 29.66930 1.118273  6.200669
172  22.50 0.11231984 27.5582 95.35633 29.52551 1.118871  6.171191
173  22.55 0.11285260 27.5422 94.90779 29.38097 1.119467  6.142058
174  22.60 0.11338491 27.5269 96.06352 29.23814 1.120063  6.113222
175  22.65 0.11391730 27.5033 93.87206 29.09396 1.120659  6.084652
176  22.70 0.11453812 27.5479 95.07872 28.95042 1.121355  6.051672
177  22.75 0.11507181 27.5218 94.20153 28.80791 1.121954  6.023605
178  22.80 0.11560609 27.4876 93.13037 28.66402 1.122554  5.995767
179  22.85 0.11614329 27.4553 93.57819 28.52131 1.123157  5.968034
180  22.90 0.11668322 27.4190 92.72247 28.37800 1.123763  5.940419
181  22.95 0.11722261 27.3751 91.97725 28.23375 1.124370  5.913084
182  23.00 0.11776322 27.3315 92.31349 28.09060 1.124978  5.885939
183  23.05 0.11830516 27.2847 91.36930 27.94744 1.125588  5.858977
184  23.10 0.11884738 27.2304 90.16930 27.80317 1.126198  5.832246
185  23.15 0.11938971 27.1773 90.28409 27.66053 1.126809  5.805753
186  23.20 0.11993049 27.1200 90.53266 27.51820 1.127418  5.779574
187  23.25 0.12046909 27.0551 88.41953 27.37528 1.128026  5.753735
188  23.30 0.12100618 26.9918 88.42340 27.23442 1.128632  5.728197
189  23.35 0.12154016 26.9251 88.86165 27.09441 1.129235  5.703030
190  23.40 0.12220675 26.9435 87.49812 26.95221 1.129988  5.671922
191  23.45 0.12273311 26.8711 86.17750 26.81470 1.130583  5.647597
192  23.50 0.12325298 26.7948 87.46918 26.67853 1.131171  5.623776
193  23.55 0.12376720 26.7159 87.42309 26.54386 1.131752  5.600411
194  23.60 0.12427220 26.6284 85.20197 26.40959 1.132324  5.577653
195  23.65 0.12477011 26.5428 83.95752 26.27840 1.132888  5.555394
196  23.70 0.12526016 26.4540 85.24461 26.14884 1.133443  5.533660
